cpf;nome;Sigla
1676;ALEXANDRA DE ABREU;NOVO
1677;ALEXANDRE CABRAL DE OLIVEIRA;DC
1678;ALEXANDRE DE OLIVEIRA;MDB
1679;ALEXANDRE HARTMANN;DC
1680;ALEXANDRE RIBEIRO MUSTAFA;PSDB
1681;ALEXANDRE PEREIRA DA SILVA;SOLIDARIEDADE
1682;ALEXANDRE SÓCRATES NAVISKAS;PSB
1683;ALEXANDRE SIMÕES PIMENTEL;PSB
1684;ALEXSANDRA BEZERRA LEITE DA SILVA;PSC
1685;ALEXYA LUCAS EVANGELISTA SALVADOR;PT
1686;ALINE FELIPE SOARES CARVALHO;AVANTE
1687;ALINE CATARINE GONDIM;PSOL
1688;ALINE CARBALLO TEIXEIRA;UNIÃO
1689;ALLI AHMAD MAJDOUB;MDB
1690;ALLINSON PAULO NUNES;PSC
1691;ALLINY FERNANDA SARTORI PADALINO ROGÉRIO;MDB
1692;ALTAIR MORAES DE OLIVEIRA;REPUBLICANOS
1693;AMANDA OLIVEIRA BISPO;UP
1694;AMANDA LIMA DIAS;PROS
1695;AMANDA CAETANO MARCHESONI;PMB
1696;AMANDA VETTORAZZO CARNEIRO;UNIÃO
1697;AMARINILDA JOSÉ CUSTÓDIO;PROS
1698;ANA PAULA CARVALHO BEATHALTER;PATRIOTA
1699;ANA CAROLINA ROSSI BARRETO SERRA;CIDADANIA
1700;ANA CLAUDIA SEVERINO RIVERA;AGIR
1701;ANA IMACULADA VALERIO;SOLIDARIEDADE
1702;ANA PAULA MELO PETILO;PMB
1703;ANA CLAUDIA SILVA MIELKE;PSOL
1704;ANA ANGELA PALERMO;PRTB
1705;ANA PAULA MAGALHÃES DA SILVA PETILI;NOVO
1706;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;PL
1707;ANA LUCIA LIPPAUS PERUGINI;PT
1708;ANA KEYLA SILVA SANTIAGO;PSDB
1709;ANA CRISTINA VARGAS CALDEIRA;PL
1710;JOSEFA ANADETE DOS SANTOS SILVA;MDB
1711;ANALICE FERNANDES;PSDB
1712;ANDERSON DOS SANTOS;PP
1713;ANDERSON DOS SANTOS MARTINS DE SOUZA;PODE
1714;ANDERSON MARTINS SALGADO;SOLIDARIEDADE
1715;ANDRÉ NALEPA ABBUD;NOVO
1716;ANDRÉ LUIZ BARBEZANI;MDB
1717;ANDRE LUIS ANCHÃO BRAGA;PSDB
1718;ANDRÉ LUIZ DA SILVA;MDB
1719;ANDRÉ LUIZ PREVIATO KODJAOGLANIAN;PSD
1720;ANDRE LUIS DO PRADO;PL
1721;ANDRE MARTINS MACHADO;PODE
1722;ANDRÉ LUIZ GALHARDO JOÃO;PATRIOTA
1723;ANDRÉ LUIZ NAVARRO GARCIA MANZANO;NOVO
1724;ANDRE PEREIRA DE MEDEIROS;PSD
1725;ANDRE CRISTHIANO CAYRES RIBEIRO;UNIÃO
1726;ANDRÉA DE PAULA SANTOS;MDB
1727;ANDRÉA DAS NEVES NERI DE SANTANA;PSB
1728;ANDREA SEIXAS;PATRIOTA
1729;ANDRÉA WERNER SILVA BONOLI;PSB
1730;ANDREIA TASSIANE ANTONACCI;AGIR
1731;ANDREIA PEREIRA FERRAZ;PATRIOTA
1732;ANDREIA MARQUETE PASSOS;SOLIDARIEDADE
1733;ERICH DE ANDRES;PMN
1734;ANDRESSA MAZZEI SIGNORETTI DA SILVA;PRTB
1735;ANDREY PEDRO PEREIRA DE ALMEIDA;PMN
1736;JOSANGELA SILVEIRA MELO;AVANTE
1737;ANGELA OROSCO DE MELO;MDB
1738;ANGÉLICA CRISTINA FASSINA HADI;AVANTE
1739;ANGÉLICA DIAS DA SILVA;PMN
1740;ANGELINA DIAS DA SILVA;PCO
1741;ANGELO ANTONIO BUCIOLOTI;PSC
1742;ANGELO MARCIO DE JESUS SILVA;PMB
1743;ANILTON HERCULINO DOS SANTOS;PROS
1744;ANA CRISTINA ALVES;PSDB
1745;ANNE VITORIA DIAS MOTA;PROS
1746;ANTÔNIO CARLOS DA SILVA;REPUBLICANOS
1747;ANTONIO DA SILVA E SOUZA;PTB
1748;ANTÔNIO ROCHA DOS SANTOS;DC
1749;MARIA APARECIDA DE JESUS;PP
1750;ROGERIO MOURA TOMAZ;REPUBLICANOS
1751;HILDON DE OLIVEIRA ROCHA;MDB
1752;ARIELY PEDROSO SILVA PRETER;PSC
1753;ARLETE TAVARES DOS SANTOS BARBOSA;PODE
1754;ARLINDO AMARO DOS SANTOS;PODE
1755;ARLINDO MARIANO DE ARAUJO FILHO;MDB
1756;ARLINDO DE OLIVEIRA CAMARGO;PROS
1757;ARNALDO JOSE MARÍA CANCELA;PP
1758;ARNALDO REISDECOPA NASCIMENTO;PDT
1759;DAVID GONÇALVES MOREIRA;PP
1760;ARTUR CASSEB ORSI;PSD
1761;ATAIDE ROBERTO DA SILVA JUNIOR;PDT
1762;ATAIDE TERUEL PEREZ;PODE
1763;ÁTILA CESAR MONTEIRO JACOMUSSI;SOLIDARIEDADE
1764;AUDREY ANA MARCONDES GOGLIANO;PTB
1765;AUDREY KLEYS CABRAL DE OLIVEIRA DINAU;PP
1766;CARLOS AUGUSTO PEREIRA COSTA;PROS
1767;AUGUSTO DOS REIS FERREIRA;PSD
1768;AURELIANO CARNEIRO DE LIMA;PODE
1769;AVEDIS GOGENHAN;PTB
1770;GIRLANE LIMA DE SOUZA;PSC
1771;WILSON DE VASCONCELOS VEIGA;PMB
1772;TEONÍLIO MONTEIRO DA COSTA;PT
1773;JOSE ANTONIO BARROS MUNHOZ;PSDB
1774;AGILDO FAUSTINO DOS SANTOS JUNIOR;PSC
1775;ISABELA CRISTINA CARDOSO DA CRUZ;PL
1776;BENJAMIN NOEL;PROS
1777;EDIVALDO BENÍCIO;PSD
1778;JOSÉ CARLOS TREVENZOLLI FILHO;PSD
1779;JOSE CARLOS BERNARDI;PTB
1780;ANTONIO BESERRA LIMA;PL
1781;ROBERTO PAULIS;AVANTE
1782;ELISABETH SAHÃO;PT
1783;ALBERTO ADRIANO DE JESUS;PSB
1784;GILBERTO DANIEL JUNIOR;UNIÃO
1785;VALDENIR JOSÉ BITIU;PSC
1786;ROBERTO FRIAS FILHO;NOVO
1787;JOÃO ROBERTO DE SIQUEIRA;PP
1788;CARLOS ROBERTO TOLEDO;PATRIOTA
1789;BIANCA CESÁRIO DE OLIVEIRA;PRTB
1790;RONALDO FRANCISCO DA CRUZ;MDB
1791;ADILSON ALVES LUZ;PRTB
1792;ERISVALDO DE SOUSA AGUIAR;PROS
1793;MARCO ANTONIO BIOTO;PSC
1794;UBIRADILSON DA SILVA;DC
1795;UBIRAJARA DE ARAUJO MORAIS;AGIR
1796;MARIA VILMA FIGUEIREDO DA SILVA JACINTO;PODE
1797;ELIANDRO SILVA DIAS;PMN
1798;ANDERSON HENRIQUE PINTO;PMB
1799;ADEMIR WELLITON DE OLIVEIRA;PATRIOTA
1800;BOAVENTURA PEREIRA SANTOS;AVANTE
1801;JOSÉ CARLOS CARRASCOSA DOS SANTOS;PSDB
1802;ROBERTO CASTRO COSTA;PRTB
1803;VALDOMIRO NUNES DE QUEIROZ;SOLIDARIEDADE
1804;MARCOS VITOR LESSA;PTB
1805;MÁRIO COROCHEL NETO;AVANTE
1806;JOÃO BOSCO LOURENÇO;PROS
1807;BRAZ PEREIRA;PRTB
1808;BRIGIDA CAIRES DINARDI;SOLIDARIEDADE
1809;BRIGIDA PINATTI AMATTE;REPUBLICANOS
1810;ELIANA ATTINI PALMIERI;REPUBLICANOS
1811;BRUNA DIAS FURLAN VICENTE;PSDB
1812;BRUNA CHAMAS BIONDI;PSOL
1813;BRUNO DE OLIVEIRA ALVES;PDT
1814;BRUNO TIAGO DA SILVA BRANDINO;NOVO
1815;BRUNO DE SOUSA ALVES;MDB
1816;BRUNO RAMOS DA SILVA;PT
1817;BRUNO LOPES ROVAI;PATRIOTA
1818;BRUNO LUCIANO MEIRA MARTINS;SOLIDARIEDADE
1819;BRUNO ZAMBELLI SALGADO;PL
1820;MARCO AURELIO MOREIRA ROQUE;REPUBLICANOS
1821;AGEU DA CRUZ ALMEIDA;PTB
1822;ANDERSON FABIANO PUPO FERNANDES;PL
1823;ANDRÉA PAROLIN PAVANI PERINOTI;PSD
1824;ANGELO PAULINO DA SILVA;PV
1825;ANNE CAROLINE SILVA;PL
1826;CELIMAR GOMES DA SILVA;SOLIDARIEDADE
1827;DEYCON FRANCISCO DA SILVA;PTB
1828;EDMAR DIAS BRITO;PRTB
1829;MAURÍCIO FERREIRA LIMA;PSC
1830;LÔIDE CAMILO SOUZA FIUZA DE CARVALHO;REPUBLICANOS
1831;REGINALDO DA ROCHA MÁXIMO;PMB
1832;MARCELLO MAZÁRIO COSTA;PMN
1833;OLAIR FERNANDO SOARES;PMB
1834;JOEL BATISTA RAMOS;PSC
1835;RENATO DE SOUZA OLIVEIRA;PATRIOTA
1836;SANDRA CANDIDO MORETTI;MDB
1837;CLÁUDIO DO NASCIMENTO TORRES;PSC
1838;LUCIANO ZACCHIA DE ARAUJO;AVANTE
1839;CACILDA SANTOS MAGALHÃES;REPUBLICANOS
1840;MARCOS LUIZ ABDO DE SIQUEIRA;AGIR
1841;CARLOS EDUARDO PEREZ;NOVO
1842;CAIO ALEXANDRE GOMES DA SILVA;PSC
1843;CAIO HENRIQUE DA SILVA;PMN
1844;CAIO FIORI DIAS;PP
1845;CAIO ALEXANDRE RAMOS FORCEL;SOLIDARIEDADE
1846;CAIO FRANÇA DE GOUVÊA GOMES;PSB
1847;CAIO VINICIUS DE MOURA LUZ;MDB
1848;CAIQUE MAFRA BARBOSA;REPUBLICANOS
1849;CLAUDIO LUIS CAIVANO;PTB
1850;PEDRO ADERSON FURTADO SOARES;AVANTE
1851;CAMILA CRISTINA BRITO;AGIR
1852;CAMILA GRASIELE SANGREGORIO SOARES;UNIÃO
1853;CAMILA TAPIA ROJAS SEGATO;PSB
1854;ABEL FELIX CAMPOS NETO;PMB
1855;ANTONIO CARLOS DE CAMPOS MACHADO;AVANTE
1856;ALISSON GUIMARÃES PEREIRA DE SOUZA;PL
1857;LUIZ CARLOS DE PAULA;MDB
1858;JOSE BRAZ DE OLIVEIRA JUNIOR;PL
1859;ROBERVAL CONTE LOPES LIMA;PL
1860;GUILHERME LAZO SOLANO NETO;PP
1861;RAFAEL HENRIQUE CANO TELHADA;PP
1862;LUIZ CLAUDIO VENANCIO ALVES;UNIÃO
1863;CLAUDINEI VIEIRA SOARES;PRTB
1864;IRENIO OLIVEIRA CARDOSO;PMB
1865;CARINA VITRAL COSTA;PC do B
1866;CLEONICE ALVES SANTOS;AGIR
1867;CARLA SARDANO MORANDO;PSDB
1868;CARLOS ROBERTO DE OLIVEIRA;PT
1869;CARLOS AUGUSTO DOS SANTOS;SOLIDARIEDADE
1870;CARLOS EDUARDO PIGNATARI;PSDB
1871;CARLOS FERNANDO SERRA DO NASCIMENTO;PMB
1872;CARLOS AGUIAR DE ANDRADE;PL
1873;CARLOS ALBERTO BOARINI;PP
1874;CARLOS EDUARDO UTUARI;PSD
1875;CARLINHO NASCIMENTO SILVA;AGIR
1876;CARLOS ALBERTO ROSSI;PSB
1877;CARLOS AUGUSTO ABRANCHES;CIDADANIA
1878;CARLOS AUGUSTO RODRIGUES;PCO
1879;JOSE CARLOS FERREIRA DA SILVA;AGIR
1880;CARLOS CEZAR DA SILVA;PL
1881;CARLOS AUGUSTO DA CUNHA SILVA;CIDADANIA
1882;CARLOS ALBERTO FABRINI;PATRIOTA
1883;CARLOS ALBERTO GIANNASI;PSOL
1884;CARLOS LEDUAR DE MENDONÇA LOPES;PTB
1885;CARLOS LOTHAR KAUTZA;UNIÃO
1886;ANTONIO CARLOS TRIGO;PDT
1887;CARLOS ANTONIO VILELA;PSD
1888;MARIA DO CARMO PORTELA RUMBO;PODE
1889;CARMEN DA SILVA FERREIRA;PSB
1890;CAROLINE STAFOKER DA SILVA;NOVO
1891;CAROLINE GOMES FERREIRA DE MELLO;CIDADANIA
1892;CAROLINA CASSACA NOEL;PROS
1893;CAROLINA RIBEIRO FREITAS;PSDB
1894;CAROLINE STEINMETZ;PSD
1895;CAROLINA ZANIRATO BUZONI;NOVO
1896;CAROLINA ANGELELLI;PSD
1897;MARIA CAROLINA DA SILVA TAVARES CRUZ;AGIR
1898;EBION PEREIRA DA COSTA;PROS
1899;JORGE LUIS CARUSO;MDB
1900;CASSIANE DE MELO FERNANDES;MDB
1901;CASSIANO ROSADO CORREIA;PSB
1902;CASSIO LUIZ DE OLIVEIRA;PTB
1903;CÁSSIO DE CASTRO NAVARRO;MDB
1904;OSCAR CASTELO BRANCO DE LUCA;PL
1905;CÁTIA DOS SANTOS MACHADO;PSOL
1906;OSVALDO SANTOS DA SILVA;PMN
1907;JOAO VIANELLE PINTO;AGIR
1908;AMILCAR MARCEL DE SOUZA;PV
1909;CECILIA CLAUDINO GOMES DO AMARAL PEREIRA;UNIÃO
1910;CECILIA RANIELE ROSAL SALVADOR;PTB
1911;CÉLIA CAMARGO LEÃO EDELMUTH;PSDB
1912;CELSO DA SILVA;PSB
1913;CÉSAR CAPUTO GUIMARÃES;PSB
1914;CESAR MICHELON LOUREIRO SANTANA;PDT
1915;CESAR ROCHA ANDRADE DA SILVA;UNIÃO
1916;CESAR EDUARDO GARCIA;DC
1917;ANTONIO DA ROCHA MARMO CEZAR;PDT
1918;LEONARDO DA SILVA BRIGAGÃO;PODE
1919;LAURINDO LUIZ CHARBEL MOURA;DC
1920;CHARLES DOS ANJOS;PODE
1921;CHARLES DOS SANTOS PEREIRA;PTB
1922;CHARLES ROBERTO PAES;PSB
1923;CHAYNI MELO DA SILVA;REPUBLICANOS
1924;MARCOS ANDRE DE OLIVEIRA;PATRIOTA
1925;HUGO DANTAS DA SILVA;REPUBLICANOS
1926;CHEILA MARIA SUBENKO OLALLA;PT
1927;ALEXANDRE CHICHURRA;AVANTE
1928;FRANCISCO ANTONIO DA SILVA;PATRIOTA
1929;FRANCISCO PEREIRA LIMA;PSDB
1930;FRANCISCO DA COSTA NETO;PSD
1931;MARCELO LEANDRO BRAGA PALINI;PP
1932;ANTONIO EDUARDO DOS SANTOS;PSD
1933;CHIRLEY MARIA DE SOUZA ALMEIDA SANTOS;PSOL
1934;ANDERSON REITANO RICARDO;UNIÃO
1935;CHRISTINA MASSIS DELLA TORRE LEMES;PROS
1936;EDNA CHRISTINA SANTIAGO;PSC
1937;CICERA SEVERINA DA CONCEIÇÃO MUSA;NOVO
1938;ANTONIO CÍCERO FERREIRA DE ARAUJO;PATRIOTA
1939;CÍCERO LUIZ DE BRITO;MDB
1940;CÍCERO JOSÉ DE GOUVEIA;PMN
1941;CICERO JOÃO DA SILVA;PSD
1942;JOSE CICERO FERREIRA DE LIMA;AGIR
1943;CICERO APARECIDO DE MELO;UNIÃO
1944;CICERO SEBASTIAO DE ARAUJO;PRTB
1945;CÍCERO PEREIRA DO VALE;PMN
1946;MARIA APARECIDA SANTOS ARAUJO;AGIR
1947;MARIA APARECIDA DA COSTA BATISTA;PODE
1948;MARIA APARECIDA AIRES DA SILVA;PSOL
1949;APARECIDO MOREIRA DA SILVA;PTB
1950;JOSÉ APARECIDO ALVES;PSB
1951;CINTIA APARECIDA DE MATOS;PDT
1952;CINTIA VANESSA GOMES;PSOL
1953;CLARICE CARASSOL AREVALO GANEM;PODE
1954;ANA CLAUDIA PERES LUCAS LOPES;PL
1955;CLAUDETE MARTINS SANTOS DE ANDRADE;PSC
1956;CLAUDETE FERREIRA DA SILVA;MDB
1957;CLAUDIA CARVALHO DA ROCHA;PRTB
1958;CLAUDIA VISONI;PV
1959;ANA CLAUDIA LEITE FERRARI;UNIÃO
1960;CLAUDIA SILVIA MACHADO DA SILVA;REPUBLICANOS
1961;CLAUDIA APARECIDA DE MELLO MONTANARI;PSOL
1962;CLAUDIA URIAS;PSD
1963;CLAUDIA VALDENIA GOMES MAIA;PMB
1964;CLAUDIO JOSÉ DE OLIVEIRA GONÇALVES;PDT
1965;CLAUDIO CESAR SILVA APOLINARIO;PSD
1966;CLAUDIO AUGUSTO PEREIRA;PTB
1967;CLAUDIO BENVINDO BARBOSA;PSOL
1968;CLAUDIO OLIVEIRA DE MESSIAS;PSB
1969;CLAUDIO FERNANDO DE AGUIAR;PL
1970;CLAUDIO MARTINS NEVES DE FRANCA;PRTB
1971;CLÁUDIO DE OLIVEIRA LEOPOLDO;PMN
1972;CLAUDIO MASANOBU TERASAKA;REPUBLICANOS
1973;CLEBER BROCH;PATRIOTA
1974;CLEBER NUNES DOS SANTOS;PMN
1975;CLEBER DA SILVA;PSOL
1976;CLEMILTON ALVES DA SILVA;REPUBLICANOS
1977;CLEONICE APARECIDA PEREIRA DA SILVA;PMB
1978;CLEUSA APARECIDA DOS SANTOS;REPUBLICANOS
1979;CLODOALDO APARECIDO DE MORAES;PL
1980;LINDINALVA ZEFERINO DE AZEVEDO;PP
1981;JOSÉ DILSON DAS CHAGAS;PSB
1982;ROBINSON FARINAZZO CASAL;PDT
1983;MONIZ JOSE BIELAWSKI RIBEIRO;PATRIOTA
1984;ADALBERTO JOSÉ FERREIRA;PL
1985;ADRIANA CRISTINA SGRIGNEIRO NUNES;UNIÃO
1986;AMERICO MASSAKI HIGUTI;PL
1987;MIGUEL AFFONSO COIMBRA NETO;PRTB
1988;LUIZ ANTONIO DINIZ DE ALMEIDA;REPUBLICANOS
1989;DJALMA DE LIMA SANTOS;PRTB
1990;FABIO ROGÉRIO CANDIDO;PL
1991;FERNANDO LUIS COUTINHO NEVES;PMB
1992;HELENA DOS SANTOS REIS;REPUBLICANOS
1993;BENEDITO ROBERTO MEIRA;UNIÃO
1994;PAULO AUGUSTO LEITE MOTOOKA;REPUBLICANOS
1995;RELDER SANDRO DE SOUZA FIALHO;PSC
1996;ROGÉRIO SILVA PEDRO;PSD
1997;NELSON PEDRO ROJA JUNIOR;PATRIOTA
1998;LUIS HENRIQUE USAI;PRTB
1999;VALDECI SILVA JUNIOR;PRTB
2000;WAGNER RODRIGUES;PP
2001;BENEDITO RODRIGUES CORREA;REDE
2002;ELI CORREIA DE MELO;SOLIDARIEDADE
2003;COSMO DAMIÃO FREITAS CID;PSB
2004;MARCELO AUGUSTO MARTINS COUBASSIER;AVANTE
2005;EDIMAR CANDIDO DE LIMA;MDB
2006;CRISTIANE BANHOL;PSTU
2007;CRISTINA ALVES DE GODOY;PTB
2008;CRISTIANE NOVAK;PRTB
2009;MARIA CRISTINA DE OLIVEIRA;NOVO
2010;CRISTIANE PEREIRA MACEDO;NOVO
2011;CRISTIANE AQUINO PASTOR;PDT
2012;CRISTIANE SILVA DE ALMEIDA SANTOS;PODE
2013;CRISTIANE ALEXANDRE MENDES;PV
2014;MARIA CRISTIANE PINHEIRO;MDB
2015;CRISTIANO ALEXANDRE DA SILVA;SOLIDARIEDADE
2016;CRISTIANO MOREIRA PINTO BERALDO;UNIÃO
2017;CRISTINA DOS SANTOS;PTB
2018;CRISTINA APARECIDA TEIXEIRA CORDEIRO DE JESUS;PTB
2019;ANTONIO DA CUNHA LIMA;PRTB
2020;CYNTHIA MICHELS;PSB
2021;DACIO BERALDO BICUDO;PV
2022;ANTONIO D'AGOSTINO;PRTB
2023;DAILAS RODRIGUES DA SILVA SOARES;AGIR
2024;ANTONIO DIRCEU DALBEN;CIDADANIA
2025;DALCIDES BATISTA DA SILVA NETO;MDB
2026;DALTON TADEU IZZO JUNIOR;PMB
2027;DANIELE SOUZA AKAMINE;MDB
2028;DANIELE MAZUQUELI ALONSO;PL
2029;DANIELLE MARINHO RABELO;PDT
2030;DANIELA APARECIDA RODRIGUEIRO;PDT
2031;DANIEL HENRIQUE SILVA BASSI;PSDB
2032;DANIEL RODRIGUES BRANDO;PMB
2033;DANIEL GIROTTO;MDB
2034;DANIEL DA ROCHA MARTINI;PODE
2035;DANIEL JOSÉ MILLER DE AZEVEDO;PP
2036;DANIEL ARAUJO NEVES SANTIAGO LIMA;PODE
2037;DANIEL BEZERRA RIBEIRO SOARES;UNIÃO
2038;MARIA DANIELA NOGUEIRA DONI;AGIR
2039;MARIA DANIELA NOGUEIRA DONI;AGIR
2040;DANIELLE SANTOS SILVA;PSDB
2041;DANIELLI CRISTIAN CARDOSO RÔA;NOVO
2042;DANILO BERTIPAGLIA BARNABÉ;PL
2043;DANILO PRISEAJNIUC BIFONE;PSOL
2044;DANILO CESAR CAMPETTI;REPUBLICANOS
2045;DANILO MARTINS DE OLIVEIRA FRANÇA;PMB
2046;DANILO RIDYER PALMA;PMB
2047;DANIELLE GOMES DE CARVALHO;PRTB
2048;DANIELE ANSELMO DE MORAIS;PRTB
2049;IRANILDO DANTAS;PROS
2050;DARCI RAMOS VITÓRIO;PSOL
2051;DÁRIO CASSIANO DE SOUZA;PSC
2052;DAVI BENEDITO DOS SANTOS;PATRIOTA
2053;DAVI PIRES BATISTA;AVANTE
2054;DAVI AMORIM DE OLIVEIRA;AVANTE
2055;DAVID CRISTIAN DE OLIVEIRA;AVANTE
2056;CHU NENG TE;PROS
2057;DAVID MONTEIRO DE MELLO;PRTB
2058;DAVID DOS REIS RODRIGUES SABACIANSKIS;SOLIDARIEDADE
2059;DAVID SANTANA DA SILVA;PSB
2060;JOSÉ ALVIM FILHO;SOLIDARIEDADE
2061;DÉBORA ALVES CAMILO;PSOL
2062;DÉBORA CRISTIANE FIRMO DORIA;PSOL
2063;DÉBORA MARCONDES SILVA FERRARESI;PSDB
2064;DEBORA MEIKO IKEJIRI;SOLIDARIEDADE
2065;DEBORA CRISTINA DA MOTA;PROS
2066;DECIO MARMIROLLI;PSD
2067;EDVAN JOSE DOS SANTOS;PSB
2068;DEIDILAN LIANG CORREIA DE SOUZA;PMN
2069;ANDREIA TEIXEIRA BATISTA;PT
2070;DEISE DUARTE;PODE
2071;DEJANIRA VICENCIA SANTOS ALVES;PDT
2072;ADAUTO VIANA JUNIOR;PTB
2073;GRACIELA DE LOURDES DAVID AMBROSIO;PL
2074;MARISTELA MORESCHI RIBEIRO NADER;PODE
2075;RAQUEL KOBASHI GALLINATI LOMBARDI;PL
2076;ADOLPHO HENRIQUE DE PAULA RAMOS;MDB
2077;FABIANO RUEDA AMORIM;SOLIDARIEDADE
2078;GUSTAVO MESQUITA GALVÃO BUENO;PSC
2079;HELIO BRESSAN;PSD
2080;HUGO PEREIRA DE CASTRO;PL
2081;ANTONIO ASSUNÇÃO DE OLIM;PP
2082;RENATO PUPO DE PAULA;PSDB
2083;REINALDO RÚBIO RODA;PSB
2084;LUIZ AUGUSTO ROMANI DE OLIVEIRA;PROS
2085;DENIVIA ROSA DOS SANTOS OLIVEIRA;PTB
2086;DENE IRENO DE SOUSA;PTB
2087;DEOCLÉCIO KAWAHATA PLACCO;PATRIOTA
2088;DEOMERCE DE SOUZA DAMASCENO;UNIÃO
2089;MARIA DAS MERCES CANDIDA DE ARAUJO;AVANTE
2090;MARCELO RIBEIRO COSTA;PP
2091;RAPHAEL DIAS FERNANDES NETO;PROS
2092;ALDENIR DIAS DOS SANTOS;PSOL
2093;DIEGO LOPES DEL RIO;MDB
2094;DIEGO WEIDEMANN RACHE VITELLO;PSOL
2095;DIEGO VOLGARINE PARDAL;PSC
2096;ADRIANO SANTANA DOS SANTOS;PODE
2097;FRANCISCA NILMAR ARRAES MANOEL;PT
2098;DILSO PANTALEÃO MANZANO;PATRIOTA
2099;DINACI FERREIRA OLEAN;PSDB
2100;MOISES JULIANO MONTIEL;SOLIDARIEDADE
2101;DIONE FRANCISCO DA SILVA;PRTB
2102;RICARDO REIS DE OLIVEIRA;MDB
