cpf;nome;Sigla;sexo
1743;ANILTON HERCULINO DOS SANTOS;PROS;M
1744;ANA CRISTINA ALVES;PSDB;F
1745;ANNE VITORIA DIAS MOTA;PROS;F
1746;ANTÔNIO CARLOS DA SILVA;REPUBLICANOS;M
1747;ANTONIO DA SILVA E SOUZA;PTB;M
1748;ANTÔNIO ROCHA DOS SANTOS;DC;M
1749;MARIA APARECIDA DE JESUS;PP;F
1750;ROGERIO MOURA TOMAZ;REPUBLICANOS;M
1751;HILDON DE OLIVEIRA ROCHA;MDB;M
1752;ARIELY PEDROSO SILVA PRETER;PSC;F
1753;ARLETE TAVARES DOS SANTOS BARBOSA;PODE;F
1754;ARLINDO AMARO DOS SANTOS;PODE;M
1755;ARLINDO MARIANO DE ARAUJO FILHO;MDB;M
1756;ARLINDO DE OLIVEIRA CAMARGO;PROS;M
1757;ARNALDO JOSE MARÍA CANCELA;PP;M
1758;ARNALDO REISDECOPA NASCIMENTO;PDT;M
1759;DAVID GONÇALVES MOREIRA;PP;M
1760;ARTUR CASSEB ORSI;PSD;M
1761;ATAIDE ROBERTO DA SILVA JUNIOR;PDT;M
1762;ATAIDE TERUEL PEREZ;PODE;M
1763;ÁTILA CESAR MONTEIRO JACOMUSSI;SOLIDARIEDADE;F
1764;AUDREY ANA MARCONDES GOGLIANO;PTB;M
1765;AUDREY KLEYS CABRAL DE OLIVEIRA DINAU;PP;M
1766;CARLOS AUGUSTO PEREIRA COSTA;PROS;M
1767;AUGUSTO DOS REIS FERREIRA;PSD;M
1768;AURELIANO CARNEIRO DE LIMA;PODE;M
1769;AVEDIS GOGENHAN;PTB;M
1770;GIRLANE LIMA DE SOUZA;PSC;F
1771;WILSON DE VASCONCELOS VEIGA;PMB;M
1772;TEONÍLIO MONTEIRO DA COSTA;PT;M
1773;JOSE ANTONIO BARROS MUNHOZ;PSDB;M
1774;AGILDO FAUSTINO DOS SANTOS JUNIOR;PSC;M
1775;ISABELA CRISTINA CARDOSO DA CRUZ;PL;F
1776;BENJAMIN NOEL;PROS;M
1777;EDIVALDO BENÍCIO;PSD;M
1778;JOSÉ CARLOS TREVENZOLLI FILHO;PSD;M
1779;JOSE CARLOS BERNARDI;PTB;M
1780;ANTONIO BESERRA LIMA;PL;M
1781;ROBERTO PAULIS;AVANTE;M
1782;ELISABETH SAHÃO;PT;M
1783;ALBERTO ADRIANO DE JESUS;PSB;M
1784;GILBERTO DANIEL JUNIOR;UNIÃO;M
1785;VALDENIR JOSÉ BITIU;PSC;M
1786;ROBERTO FRIAS FILHO;NOVO;M
1787;JOÃO ROBERTO DE SIQUEIRA;PP;M
1788;CARLOS ROBERTO TOLEDO;PATRIOTA;M
1789;BIANCA CESÁRIO DE OLIVEIRA;PRTB;F
1790;RONALDO FRANCISCO DA CRUZ;MDB;M
1791;ADILSON ALVES LUZ;PRTB;M
1792;ERISVALDO DE SOUSA AGUIAR;PROS;M
1793;MARCO ANTONIO BIOTO;PSC;M
1794;UBIRADILSON DA SILVA;DC;M
1795;UBIRAJARA DE ARAUJO MORAIS;AGIR;M
1796;MARIA VILMA FIGUEIREDO DA SILVA JACINTO;PODE;F
1797;ELIANDRO SILVA DIAS;PMN;M
1798;ANDERSON HENRIQUE PINTO;PMB;M
1799;ADEMIR WELLITON DE OLIVEIRA;PATRIOTA;M
1800;BOAVENTURA PEREIRA SANTOS;AVANTE;M
1801;JOSÉ CARLOS CARRASCOSA DOS SANTOS;PSDB;M
1802;ROBERTO CASTRO COSTA;PRTB;M
1803;VALDOMIRO NUNES DE QUEIROZ;SOLIDARIEDADE;M
1804;MARCOS VITOR LESSA;PTB;M
1805;MÁRIO COROCHEL NETO;AVANTE;M
1806;JOÃO BOSCO LOURENÇO;PROS;M
1807;BRAZ PEREIRA;PRTB;M
1808;BRIGIDA CAIRES DINARDI;SOLIDARIEDADE;F
1809;BRIGIDA PINATTI AMATTE;REPUBLICANOS;F
1810;ELIANA ATTINI PALMIERI;REPUBLICANOS;F
1811;BRUNA DIAS FURLAN VICENTE;PSDB;F
1812;BRUNA CHAMAS BIONDI;PSOL;F
1813;BRUNO DE OLIVEIRA ALVES;PDT;M
1814;BRUNO TIAGO DA SILVA BRANDINO;NOVO;M
1815;BRUNO DE SOUSA ALVES;MDB;M
1816;BRUNO RAMOS DA SILVA;PT;M
1817;BRUNO LOPES ROVAI;PATRIOTA;M
1818;BRUNO LUCIANO MEIRA MARTINS;SOLIDARIEDADE;M
1819;BRUNO ZAMBELLI SALGADO;PL;M
1820;MARCO AURELIO MOREIRA ROQUE;REPUBLICANOS;M
1821;AGEU DA CRUZ ALMEIDA;PTB;M
1822;ANDERSON FABIANO PUPO FERNANDES;PL;M
1823;ANDRÉA PAROLIN PAVANI PERINOTI;PSD;F
1824;ANGELO PAULINO DA SILVA;PV;M
1825;ANNE CAROLINE SILVA;PL;F
1826;CELIMAR GOMES DA SILVA;SOLIDARIEDADE;M
1827;DEYCON FRANCISCO DA SILVA;PTB;M
1828;EDMAR DIAS BRITO;PRTB;M
1829;MAURÍCIO FERREIRA LIMA;PSC;M
1830;LÔIDE CAMILO SOUZA FIUZA DE CARVALHO;REPUBLICANOS;F
1831;REGINALDO DA ROCHA MÁXIMO;PMB;M
1832;MARCELLO MAZÁRIO COSTA;PMN;M
1833;OLAIR FERNANDO SOARES;PMB;M
1834;JOEL BATISTA RAMOS;PSC;M
1835;RENATO DE SOUZA OLIVEIRA;PATRIOTA;M
1836;SANDRA CANDIDO MORETTI;MDB;F
1837;CLÁUDIO DO NASCIMENTO TORRES;PSC;M
1838;LUCIANO ZACCHIA DE ARAUJO;AVANTE;M
1839;CACILDA SANTOS MAGALHÃES;REPUBLICANOS;F
1840;MARCOS LUIZ ABDO DE SIQUEIRA;AGIR;M
1841;CARLOS EDUARDO PEREZ;NOVO;M
1842;CAIO ALEXANDRE GOMES DA SILVA;PSC;M
1843;CAIO HENRIQUE DA SILVA;PMN;M
1844;CAIO FIORI DIAS;PP;M
1845;CAIO ALEXANDRE RAMOS FORCEL;SOLIDARIEDADE;M
1846;CAIO FRANÇA DE GOUVÊA GOMES;PSB;M
1847;CAIO VINICIUS DE MOURA LUZ;MDB;M
1848;CAIQUE MAFRA BARBOSA;REPUBLICANOS;M
1849;CLAUDIO LUIS CAIVANO;PTB;M
1850;PEDRO ADERSON FURTADO SOARES;AVANTE;M
1851;CAMILA CRISTINA BRITO;AGIR;F
1852;CAMILA GRASIELE SANGREGORIO SOARES;UNIÃO;F
1853;CAMILA TAPIA ROJAS SEGATO;PSB;F
1854;ABEL FELIX CAMPOS NETO;PMB;M
1855;ANTONIO CARLOS DE CAMPOS MACHADO;AVANTE;M
1856;ALISSON GUIMARÃES PEREIRA DE SOUZA;PL;M
1857;LUIZ CARLOS DE PAULA;MDB;M
1858;JOSE BRAZ DE OLIVEIRA JUNIOR;PL;M
1859;ROBERVAL CONTE LOPES LIMA;PL;M
1860;GUILHERME LAZO SOLANO NETO;PP;M
1861;RAFAEL HENRIQUE CANO TELHADA;PP;M
1862;LUIZ CLAUDIO VENANCIO ALVES;UNIÃO;M
1863;CLAUDINEI VIEIRA SOARES;PRTB;M
1864;IRENIO OLIVEIRA CARDOSO;PMB;M
1865;CARINA VITRAL COSTA;PC do B;F
1866;CLEONICE ALVES SANTOS;AGIR;F
1867;CARLA SARDANO MORANDO;PSDB;F
1868;CARLOS ROBERTO DE OLIVEIRA;PT;M
1869;CARLOS AUGUSTO DOS SANTOS;SOLIDARIEDADE;M
1870;CARLOS EDUARDO PIGNATARI;PSDB;M
1871;CARLOS FERNANDO SERRA DO NASCIMENTO;PMB;M
1872;CARLOS AGUIAR DE ANDRADE;PL;M
1873;CARLOS ALBERTO BOARINI;PP;M
1874;CARLOS EDUARDO UTUARI;PSD;M
1875;CARLINHO NASCIMENTO SILVA;AGIR;M
1876;CARLOS ALBERTO ROSSI;PSB;M
1877;CARLOS AUGUSTO ABRANCHES;CIDADANIA;M
1878;CARLOS AUGUSTO RODRIGUES;PCO;M
1879;JOSE CARLOS FERREIRA DA SILVA;AGIR;M
1880;CARLOS CEZAR DA SILVA;PL;M
1881;CARLOS AUGUSTO DA CUNHA SILVA;CIDADANIA;M
1882;CARLOS ALBERTO FABRINI;PATRIOTA;M
1883;CARLOS ALBERTO GIANNASI;PSOL;M
1884;CARLOS LEDUAR DE MENDONÇA LOPES;PTB;M
1885;CARLOS LOTHAR KAUTZA;UNIÃO;M
1886;ANTONIO CARLOS TRIGO;PDT;M
1887;CARLOS ANTONIO VILELA;PSD;M
1888;MARIA DO CARMO PORTELA RUMBO;PODE;F
1889;CARMEN DA SILVA FERREIRA;PSB;F
1890;CAROLINE STAFOKER DA SILVA;NOVO;F
1891;CAROLINE GOMES FERREIRA DE MELLO;CIDADANIA;F
1892;CAROLINA CASSACA NOEL;PROS;F
1893;CAROLINA RIBEIRO FREITAS;PSDB;F
1894;CAROLINE STEINMETZ;PSD;F
1895;CAROLINA ZANIRATO BUZONI;NOVO;F
1896;CAROLINA ANGELELLI;PSD;F
1897;MARIA CAROLINA DA SILVA TAVARES CRUZ;AGIR;F
1898;EBION PEREIRA DA COSTA;PROS;M
1899;JORGE LUIS CARUSO;MDB;M
1900;CASSIANE DE MELO FERNANDES;MDB;F
1901;CASSIANO ROSADO CORREIA;PSB;M
1902;CASSIO LUIZ DE OLIVEIRA;PTB;M
1903;CÁSSIO DE CASTRO NAVARRO;MDB;M
1904;OSCAR CASTELO BRANCO DE LUCA;PL;M
1905;CÁTIA DOS SANTOS MACHADO;PSOL;F
1906;OSVALDO SANTOS DA SILVA;PMN;M
1907;JOAO VIANELLE PINTO;AGIR;M
1908;AMILCAR MARCEL DE SOUZA;PV;M
1909;CECILIA CLAUDINO GOMES DO AMARAL PEREIRA;UNIÃO;F
1910;CECILIA RANIELE ROSAL SALVADOR;PTB;F
1911;CÉLIA CAMARGO LEÃO EDELMUTH;PSDB;F
1912;CELSO DA SILVA;PSB;M
1913;CÉSAR CAPUTO GUIMARÃES;PSB;M
1914;CESAR MICHELON LOUREIRO SANTANA;PDT;M
1915;CESAR ROCHA ANDRADE DA SILVA;UNIÃO;M
1916;CESAR EDUARDO GARCIA;DC;M
1917;ANTONIO DA ROCHA MARMO CEZAR;PDT;M
1918;LEONARDO DA SILVA BRIGAGÃO;PODE;M
1919;LAURINDO LUIZ CHARBEL MOURA;DC;M
1920;CHARLES DOS ANJOS;PODE;M
1921;CHARLES DOS SANTOS PEREIRA;PTB;M
1922;CHARLES ROBERTO PAES;PSB;M
1923;CHAYNI MELO DA SILVA;REPUBLICANOS;F
1924;MARCOS ANDRE DE OLIVEIRA;PATRIOTA;M
1925;HUGO DANTAS DA SILVA;REPUBLICANOS;M
1926;CHEILA MARIA SUBENKO OLALLA;PT;F
1927;ALEXANDRE CHICHURRA;AVANTE;M
1928;FRANCISCO ANTONIO DA SILVA;PATRIOTA;M
1929;FRANCISCO PEREIRA LIMA;PSDB;M
1930;FRANCISCO DA COSTA NETO;PSD;M
1931;MARCELO LEANDRO BRAGA PALINI;PP;M
1932;ANTONIO EDUARDO DOS SANTOS;PSD;M
1933;CHIRLEY MARIA DE SOUZA ALMEIDA SANTOS;PSOL;F
1934;ANDERSON REITANO RICARDO;UNIÃO;M
1935;CHRISTINA MASSIS DELLA TORRE LEMES;PROS;F
1936;EDNA CHRISTINA SANTIAGO;PSC;F
1937;CICERA SEVERINA DA CONCEIÇÃO MUSA;NOVO;F
1938;ANTONIO CÍCERO FERREIRA DE ARAUJO;PATRIOTA;M
1939;CÍCERO LUIZ DE BRITO;MDB;M
1940;CÍCERO JOSÉ DE GOUVEIA;PMN;M
1941;CICERO JOÃO DA SILVA;PSD;M
1942;JOSE CICERO FERREIRA DE LIMA;AGIR;M
1943;CICERO APARECIDO DE MELO;UNIÃO;M
1944;CICERO SEBASTIAO DE ARAUJO;PRTB;M
1945;CÍCERO PEREIRA DO VALE;PMN;M
1946;MARIA APARECIDA SANTOS ARAUJO;AGIR;F
1947;MARIA APARECIDA DA COSTA BATISTA;PODE;F
1948;MARIA APARECIDA AIRES DA SILVA;PSOL;F
1949;APARECIDO MOREIRA DA SILVA;PTB;M
1950;JOSÉ APARECIDO ALVES;PSB;M
1951;CINTIA APARECIDA DE MATOS;PDT;F
1952;CINTIA VANESSA GOMES;PSOL;F
1953;CLARICE CARASSOL AREVALO GANEM;PODE;F
1954;ANA CLAUDIA PERES LUCAS LOPES;PL;F
1955;CLAUDETE MARTINS SANTOS DE ANDRADE;PSC;F
1956;CLAUDETE FERREIRA DA SILVA;MDB;F
1957;CLAUDIA CARVALHO DA ROCHA;PRTB;F
1958;CLAUDIA VISONI;PV;F
1959;ANA CLAUDIA LEITE FERRARI;UNIÃO;F
1960;CLAUDIA SILVIA MACHADO DA SILVA;REPUBLICANOS;F
1961;CLAUDIA APARECIDA DE MELLO MONTANARI;PSOL;F
1962;CLAUDIA URIAS;PSD;F
1963;CLAUDIA VALDENIA GOMES MAIA;PMB;F
1964;CLAUDIO JOSÉ DE OLIVEIRA GONÇALVES;PDT;M
1965;CLAUDIO CESAR SILVA APOLINARIO;PSD;M
1966;CLAUDIO AUGUSTO PEREIRA;PTB;M
1967;CLAUDIO BENVINDO BARBOSA;PSOL;M
1968;CLAUDIO OLIVEIRA DE MESSIAS;PSB;M
1969;CLAUDIO FERNANDO DE AGUIAR;PL;M
1970;CLAUDIO MARTINS NEVES DE FRANCA;PRTB;M
1971;CLÁUDIO DE OLIVEIRA LEOPOLDO;PMN;M
1972;CLAUDIO MASANOBU TERASAKA;REPUBLICANOS;M
1973;CLEBER BROCH;PATRIOTA;M
1974;CLEBER NUNES DOS SANTOS;PMN;M
1975;CLEBER DA SILVA;PSOL;M
1976;CLEMILTON ALVES DA SILVA;REPUBLICANOS;M
1977;CLEONICE APARECIDA PEREIRA DA SILVA;PMB;M
1978;CLEUSA APARECIDA DOS SANTOS;REPUBLICANOS;F
1979;CLODOALDO APARECIDO DE MORAES;PL;M
1980;LINDINALVA ZEFERINO DE AZEVEDO;PP;F
1981;JOSÉ DILSON DAS CHAGAS;PSB;M
1982;ROBINSON FARINAZZO CASAL;PDT;M
1983;MONIZ JOSE BIELAWSKI RIBEIRO;PATRIOTA;M
1984;ADALBERTO JOSÉ FERREIRA;PL;M
1985;ADRIANA CRISTINA SGRIGNEIRO NUNES;UNIÃO;F
1986;AMERICO MASSAKI HIGUTI;PL;M
1987;MIGUEL AFFONSO COIMBRA NETO;PRTB;M
1988;LUIZ ANTONIO DINIZ DE ALMEIDA;REPUBLICANOS;M
1989;DJALMA DE LIMA SANTOS;PRTB;M
1990;FABIO ROGÉRIO CANDIDO;PL;M
1991;FERNANDO LUIS COUTINHO NEVES;PMB;M
1992;HELENA DOS SANTOS REIS;REPUBLICANOS;F
1993;BENEDITO ROBERTO MEIRA;UNIÃO;M
1994;PAULO AUGUSTO LEITE MOTOOKA;REPUBLICANOS;M
1995;RELDER SANDRO DE SOUZA FIALHO;PSC;M
1996;ROGÉRIO SILVA PEDRO;PSD;M
1997;NELSON PEDRO ROJA JUNIOR;PATRIOTA;M
1998;LUIS HENRIQUE USAI;PRTB;M
1999;VALDECI SILVA JUNIOR;PRTB;M
2000;WAGNER RODRIGUES;PP;M
2001;BENEDITO RODRIGUES CORREA;REDE;M
2002;ELI CORREIA DE MELO;SOLIDARIEDADE;M
2003;COSMO DAMIÃO FREITAS CID;PSB;M
2004;MARCELO AUGUSTO MARTINS COUBASSIER;AVANTE;M
2005;EDIMAR CANDIDO DE LIMA;MDB;M
2006;CRISTIANE BANHOL;PSTU;F
2007;CRISTINA ALVES DE GODOY;PTB;F
2008;CRISTIANE NOVAK;PRTB;F
2009;MARIA CRISTINA DE OLIVEIRA;NOVO;F
2010;CRISTIANE PEREIRA MACEDO;NOVO;F
2011;CRISTIANE AQUINO PASTOR;PDT;F
2012;CRISTIANE SILVA DE ALMEIDA SANTOS;PODE;F
2013;CRISTIANE ALEXANDRE MENDES;PV;F
2014;MARIA CRISTIANE PINHEIRO;MDB;F
2015;CRISTIANO ALEXANDRE DA SILVA;SOLIDARIEDADE;M
2016;CRISTIANO MOREIRA PINTO BERALDO;UNIÃO;M
2017;CRISTINA DOS SANTOS;PTB;F
2018;CRISTINA APARECIDA TEIXEIRA CORDEIRO DE JESUS;PTB;F
2019;ANTONIO DA CUNHA LIMA;PRTB;M
2020;CYNTHIA MICHELS;PSB;F
2021;DACIO BERALDO BICUDO;PV;M
2022;ANTONIO D'AGOSTINO;PRTB;M
2023;DAILAS RODRIGUES DA SILVA SOARES;AGIR;F
2024;ANTONIO DIRCEU DALBEN;CIDADANIA;M
2025;DALCIDES BATISTA DA SILVA NETO;MDB;M
2026;DALTON TADEU IZZO JUNIOR;PMB;M
2027;DANIELE SOUZA AKAMINE;MDB;F
2028;DANIELE MAZUQUELI ALONSO;PL;F
2029;DANIELLE MARINHO RABELO;PDT;F
2030;DANIELA APARECIDA RODRIGUEIRO;PDT;F
2031;DANIEL HENRIQUE SILVA BASSI;PSDB;M
2032;DANIEL RODRIGUES BRANDO;PMB;M
2033;DANIEL GIROTTO;MDB;M
2034;DANIEL DA ROCHA MARTINI;PODE;M
2035;DANIEL JOSÉ MILLER DE AZEVEDO;PP;M
2036;DANIEL ARAUJO NEVES SANTIAGO LIMA;PODE;M
2037;DANIEL BEZERRA RIBEIRO SOARES;UNIÃO;M
2038;MARIA DANIELA NOGUEIRA DONI;AGIR;F
2039;MARIA DANIELA NOGUEIRA DONI;AGIR;F
2040;DANIELLE SANTOS SILVA;PSDB;F
2041;DANIELLI CRISTIAN CARDOSO RÔA;NOVO;F
2042;DANILO BERTIPAGLIA BARNABÉ;PL;M
2043;DANILO PRISEAJNIUC BIFONE;PSOL;M
2044;DANILO CESAR CAMPETTI;REPUBLICANOS;M
2045;DANILO MARTINS DE OLIVEIRA FRANÇA;PMB;M
2046;DANILO RIDYER PALMA;PMB;M
2047;DANIELLE GOMES DE CARVALHO;PRTB;F
2048;DANIELE ANSELMO DE MORAIS;PRTB;F
2049;IRANILDO DANTAS;PROS;M
2050;DARCI RAMOS VITÓRIO;PSOL;M
2051;DÁRIO CASSIANO DE SOUZA;PSC;M
2052;DAVI BENEDITO DOS SANTOS;PATRIOTA;M
2053;DAVI PIRES BATISTA;AVANTE;M
2054;DAVI AMORIM DE OLIVEIRA;AVANTE;M
2055;DAVID CRISTIAN DE OLIVEIRA;AVANTE;M
2056;CHU NENG TE;PROS;M
2057;DAVID MONTEIRO DE MELLO;PRTB;M
2058;DAVID DOS REIS RODRIGUES SABACIANSKIS;SOLIDARIEDADE;M
2059;DAVID SANTANA DA SILVA;PSB;M
2060;JOSÉ ALVIM FILHO;SOLIDARIEDADE;M
2061;DÉBORA ALVES CAMILO;PSOL;F
2062;DÉBORA CRISTIANE FIRMO DORIA;PSOL;F
2063;DÉBORA MARCONDES SILVA FERRARESI;PSDB;F
2064;DEBORA MEIKO IKEJIRI;SOLIDARIEDADE;F
2065;DEBORA CRISTINA DA MOTA;PROS;F
2066;DECIO MARMIROLLI;PSD;M
2067;EDVAN JOSE DOS SANTOS;PSB;M
2068;DEIDILAN LIANG CORREIA DE SOUZA;PMN;M
