"id";"cpf";"nome";"sigla";"siglaEstado";"vice";"vicecpf";"cargo"
57;"";"AILTON ALCANTARA DOS SANTOS";"DC";"SP";0;0;"deputado federal"
58;"";"AILTON BISPO DOS ANJOS";"PSC";"SP";0;0;"deputado federal"
59;"";"UBIRATAN ALAN DE CARVALHO";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
60;"";"RAFAEL ALBANEZ";"PTB";"SP";0;0;"deputado federal"
61;"";"ALBERTINO FERREIRA DE OLIVEIRA";"PSOL";"SP";0;0;"deputado federal"
62;"";"ALBERTO PEREIRA MOURÃO";"MDB";"SP";0;0;"deputado federal"
63;"";"ALCIDES FERNANDES BARBOSA";"MDB";"SP";0;0;"deputado federal"
64;"";"ALENCAR SANTANA BRAGA";"PT";"SP";0;0;"deputado federal"
65;"";"ALESSANDRA ESQUIVEL PRANDI";"MDB";"SP";0;0;"deputado federal"
66;"";"ALESSANDRA RUDOLPHO STRINGHETA BARBOSA";"PATRIOTA";"SP";0;0;"deputado federal"
67;"";"ALESSANDRA SOUZA VALIM";"PTB";"SP";0;0;"deputado federal"
68;"";"ALESSANDRA REGINA VERGILIO";"NOVO";"SP";0;0;"deputado federal"
69;"";"ALESSANDRO SONEGO DE ALMEIDA";"PODE";"SP";0;0;"deputado federal"
70;"";"ALESSANDRO AZEVEDO DOS SANTOS";"AVANTE";"SP";0;0;"deputado federal"
71;"";"ALESSANDRO RUIZ MARTINEZ";"PSD";"SP";0;0;"deputado federal"
72;"";"ALEX MACEDO DE SOUZA";"UNIÃO";"SP";0;0;"deputado federal"
73;"";"ALEX SPINELLI MANENTE";"CIDADANIA";"SP";0;0;"deputado federal"
74;"";"ALEX DOS REIS";"UNIÃO";"SP";0;0;"deputado federal"
75;"";"ALEXANDRE MARTINS RICCI";"PRTB";"SP";0;0;"deputado federal"
76;"";"ALEXANDRE LEITE DA SILVA";"UNIÃO";"SP";0;0;"deputado federal"
77;"";"ALEXANDRE ROCHA SANTOS PADILHA";"PT";"SP";0;0;"deputado federal"
78;"";"ALEXANDRE MENDES PINHEIRO";"NOVO";"SP";0;0;"deputado federal"
79;"";"ALEXANDRE LUÍS NOBRE TERRERI";"REDE";"SP";0;0;"deputado federal"
80;"";"ALEXIS JOSEPH STEVERLYNCK FONTEYNE";"NOVO";"SP";0;0;"deputado federal"
81;"";"ALEXANDRE DONIZETE TEODORO";"PSC";"SP";0;0;"deputado federal"
82;"";"ALEXSANDRA RIBEIRO RODRIGUES DA SILVA";"PSB";"SP";0;0;"deputado federal"
83;"";"ALICE RIBEIRO CORDEIRO DE BARROS";"PSOL";"SP";0;0;"deputado federal"
84;"";"ALINE CRISTINA DE SOUZA UBIDA";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
85;"";"ALLAN ARONI";"PRTB";"SP";0;0;"deputado federal"
86;"";"ALLAN SERGIO NASCIMENTO";"AGIR";"SP";0;0;"deputado federal"
87;"";"ALTAIR CAMPANA";"PTB";"SP";0;0;"deputado federal"
88;"";"ANTONIO EDUARDO ALTAVISTA";"DC";"SP";0;0;"deputado federal"
89;"";"ALUISIO LUNDGREN CORREA REGIS";"PROS";"SP";0;0;"deputado federal"
90;"";"ALVARO EXPEDITO JERONYMO";"PSOL";"SP";0;0;"deputado federal"
91;"";"AMANDA SANTOS DA SILVA";"PATRIOTA";"SP";0;0;"deputado federal"
92;"";"MARCIO ALVARES DE SOUZA";"PSC";"SP";0;0;"deputado federal"
93;"";"ANA FLÁVIA DE FARIAS ZENAIDE";"AVANTE";"SP";0;0;"deputado federal"
94;"";"ANA PAULA TAVARES DE OLIVEIRA GOFFI";"MDB";"SP";0;0;"deputado federal"
95;"";"ANA CLÁUDIA FERREIRA DE PAIVA";"PDT";"SP";0;0;"deputado federal"
96;"";"ANDERSON GOMES DE CAMPOS";"PRTB";"SP";0;0;"deputado federal"
97;"";"ANDERSON LUIZ BIANCHINI";"PROS";"SP";0;0;"deputado federal"
98;"";"ANDERSON GONDIM SAMPAIO";"PTB";"SP";0;0;"deputado federal"
99;"";"ANDERSON SEVERIANO GOMES";"REDE";"SP";0;0;"deputado federal"
100;"";"CARLOS ANDRÉ FURTADO";"AVANTE";"SP";0;0;"deputado federal"
101;"";"ANDRE EDUARDO RIBEIRO";"PATRIOTA";"SP";0;0;"deputado federal"
102;"";"ANDRÉ LUIS DE MORAES";"PDT";"SP";0;0;"deputado federal"
103;"";"ANDRE LUIS RAMOS PEDROSO";"PTB";"SP";0;0;"deputado federal"
104;"";"ANDRE HENRIQUE BUENO DE OLIVEIRA";"PATRIOTA";"SP";0;0;"deputado federal"
105;"";"ANDRÉA DE OLIVEIRA MORAES";"NOVO";"SP";0;0;"deputado federal"
106;"";"ANDRÉA CRISTINA PRADELLA";"PROS";"SP";0;0;"deputado federal"
107;"";"ANDRÉA REIS DUARTE";"AVANTE";"SP";0;0;"deputado federal"
108;"";"ANDRÉIA ALVES DO AMARAL";"REPUBLICANOS";"SP";0;0;"deputado federal"
109;"";"ANDREIA APARECIDA GOMES DE SOUSA FERNANDES";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
110;"";"ANDRÉIA ROSA DA SILVA TOFOLO";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
111;"";"ANDREIA VAZ TOSTES IRENTE";"MDB";"SP";0;0;"deputado federal"
112;"";"ANE CAROLINE SOLLAR PEREIRA";"PSB";"SP";0;0;"deputado federal"
113;"";"ANETE MARIA PIZZIMENTI";"PRTB";"SP";0;0;"deputado federal"
114;"";"ANGELA BARBOSA DOS SANTOS";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
115;"";"ANGELA ISABEL RODRIGUES";"PRTB";"SP";0;0;"deputado federal"
116;"";"FLAVIANE MENESES AQUINO";"PTB";"SP";0;0;"deputado federal"
117;"";"ANTONIO CARLOS RODRIGUES";"PL";"SP";0;0;"deputado federal"
118;"";"ANTONIO MARCOS DA SILVA POLYCENO";"AVANTE";"SP";0;0;"deputado federal"
119;"";"ANTONIO CARLOS DA MOTTA";"NOVO";"SP";0;0;"deputado federal"
120;"";"ANTONIO FERNANDES DOS SANTOS NETO";"PDT";"SP";0;0;"deputado federal"
121;"";"ANTÔNIO OCILIO VASCONCELOS DA SILVA";"PSOL";"SP";0;0;"deputado federal"
122;"";"JONATHAN CRISTIANO RODRIGUES DA SILVA SALES";"PSDB";"SP";0;0;"deputado federal"
123;"";"APARECIDO RUBENS DE ANDRADE";"PROS";"SP";0;0;"deputado federal"
124;"";"MARCIO AUGUSTO DE MEDEIROS";"PTB";"SP";0;0;"deputado federal"
125;"";"ARIADNA THALIA DA SILVA ARANTES";"PSB";"SP";0;0;"deputado federal"
126;"";"GRACIANO ARILSON DOS SANTOS";"PSC";"SP";0;0;"deputado federal"
127;"";"ISABEL ALINE ROSA";"PMB";"SP";0;0;"deputado federal"
128;"";"ARLINDO CHIGNALIA JUNIOR";"PT";"SP";0;0;"deputado federal"
129;"";"ARMANDO FERREIRO RODRIGUES";"MDB";"SP";0;0;"deputado federal"
130;"";"ARMANDO INFANTI JUNIOR";"PATRIOTA";"SP";0;0;"deputado federal"
131;"";"ARNALDO CALIL PEREIRA JARDIM";"CIDADANIA";"SP";0;0;"deputado federal"
132;"";"ARNALDO SALVETTI PALACIO JUNIOR";"MDB";"SP";0;0;"deputado federal"
133;"";"FRANCISCO DE ASSIS CARVALHO ARTEN";"MDB";"SP";0;0;"deputado federal"
134;"";"ARTHUR MARIO PINHEIRO MACHADO";"REPUBLICANOS";"SP";0;0;"deputado federal"
135;"";"ARTHUR BRAGANCA DE VASCONCELLOS WEINTRAUB";"PMB";"SP";0;0;"deputado federal"
136;"";"ARTUR ROGÉRIO GUIMARÃES";"PMN";"SP";0;0;"deputado federal"
137;"";"POLLYANNA DO VALLE ATAGIBA";"PT";"SP";0;0;"deputado federal"
138;"";"MARIA AUGUSTA FERREIRA FONSECA";"UNIÃO";"SP";0;0;"deputado federal"
139;"";"JOSÉ AUGUSTO BARBOSA DA SILVA";"PMN";"SP";0;0;"deputado federal"
140;"";"AUGUSTO DE ARRUDA BOTELHO NETO";"PSB";"SP";0;0;"deputado federal"
141;"";"JOSÉ AUGUSTINHO DOS SANTOS";"AGIR";"SP";0;0;"deputado federal"
142;"";"AURELIA CINAQUI AMARAL";"PSC";"SP";0;0;"deputado federal"
143;"";"AYRTON JOSÉ RODRIGUES";"DC";"SP";0;0;"deputado federal"
144;"";"ELIZARDE DA SILVA SOUSA";"PP";"SP";0;0;"deputado federal"
145;"";"LUIZ FELIPE BALEIA TENUTO ROSSI";"MDB";"SP";0;0;"deputado federal"
146;"";"BARBARA HUYARA DE OLIVEIRA VICTORIANO KOGOS";"REPUBLICANOS";"SP";0;0;"deputado federal"
147;"";"BEATRIZ BARBIERE OLIVEIRA";"PCB";"SP";0;0;"deputado federal"
148;"";"BEATRIZ CAROLINA REIS";"PRTB";"SP";0;0;"deputado federal"
149;"";"REGINALDO BELARMINO DA SILVA";"PRTB";"SP";0;0;"deputado federal"
150;"";"BENEDITO APARECIDO DA SILVA";"REPUBLICANOS";"SP";0;0;"deputado federal"
151;"";"BERNARDO LERER";"PT";"SP";0;0;"deputado federal"
152;"";"MASSAEL BESSA DA SILVA";"PP";"SP";0;0;"deputado federal"
153;"";"ROBERTO NOVAES REIS";"PSB";"SP";0;0;"deputado federal"
154;"";"MARIA ISABEL LOPES DA CUNHA SOARES";"REDE";"SP";0;0;"deputado federal"
155;"";"BIANCA COLEPICOLO";"PP";"SP";0;0;"deputado federal"
156;"";"BIANCA MARIA DELLA SANTA PIMENTA";"PROS";"SP";0;0;"deputado federal"
157;"";"LUIS CLAUDIO BILI LINS DA SILVA";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
158;"";"SEVERINO DE OLIVEIRA MELO";"AGIR";"SP";0;0;"deputado federal"
159;"";"MANOEL DOS SANTOS SILVA IRMAO";"AGIR";"SP";0;0;"deputado federal"
160;"";"UBIRATAN FIM MENDES";"AVANTE";"SP";0;0;"deputado federal"
161;"";"MARIA CELESTE JUSTA";"PTB";"SP";0;0;"deputado federal"
162;"";"ANDRÉ ALMEIDA MILIAN";"AGIR";"SP";0;0;"deputado federal"
163;"";"ROSILAINE APARECIDA DOS SANTOS BRANDÃO";"PL";"SP";0;0;"deputado federal"
164;"";"WILSON CAPUTO SANT'ANNA";"DC";"SP";0;0;"deputado federal"
165;"";"JHONATAN ARAUJO PANHAGUA";"PP";"SP";0;0;"deputado federal"
166;"";"ROBERVAL BARBOSA DE JESUS";"AGIR";"SP";0;0;"deputado federal"
167;"";"BRUNA KARINI DA SILVA";"NOVO";"SP";0;0;"deputado federal"
168;"";"BRUNO AREVALO GANEM";"PODE";"SP";0;0;"deputado federal"
169;"";"BRUNO MADEIRA DE CARVALHO";"PTB";"SP";0;0;"deputado federal"
170;"";"BRUNO MARINHO BARCELLOS";"PRTB";"SP";0;0;"deputado federal"
171;"";"BRUNO SCAFFIDI";"PSD";"SP";0;0;"deputado federal"
172;"";"ANDERSON CAVANHA";"PL";"SP";0;0;"deputado federal"
173;"";"RAFAEL BRUXELLAS PARRA";"PT";"SP";0;0;"deputado federal"
174;"";"MARCELO FRANCISCO DE LACERDA";"PMN";"SP";0;0;"deputado federal"
175;"";"JOSE ROBERTO BARBOSA DE SOUZA";"UNIÃO";"SP";0;0;"deputado federal"
176;"";"FRANCISCO ALVES DA SILVA";"AVANTE";"SP";0;0;"deputado federal"
177;"";"FAUSTO ALVES RAMALHO";"REPUBLICANOS";"SP";0;0;"deputado federal"
178;"";"GILBERTO MACHADO DE OLIVEIRA MARQUES";"AVANTE";"SP";0;0;"deputado federal"
179;"";"VANESSA CRISTINA DE ROSSI";"PSB";"SP";0;0;"deputado federal"
180;"";"SAMUEL VITOR PEREIRA BERNARDI";"PP";"SP";0;0;"deputado federal"
181;"";"ADOLFO TIMOTIO";"REDE";"SP";0;0;"deputado federal"
182;"";"MARCIO ANTONIO DE OLIVEIRA";"PROS";"SP";0;0;"deputado federal"
183;"";"CAIO BIANCHI BECHARA";"NOVO";"SP";0;0;"deputado federal"
184;"";"CAIO AUGUSTO SILVA DOS SANTOS";"UNIÃO";"SP";0;0;"deputado federal"
185;"";"CAIO LYSIAS SPINA";"PMN";"SP";0;0;"deputado federal"
186;"";"LUIZ CLAUDIO NOGAROTO AMARAL";"PODE";"SP";0;0;"deputado federal"
187;"";"JOSE CAMILO GAVA NETO";"PTB";"SP";0;0;"deputado federal"
188;"";"EDUARDO CAMILO TERRA DOS SANTOS";"PCB";"SP";0;0;"deputado federal"
189;"";"ELIANE CRISTINA CAMARGO";"AVANTE";"SP";0;0;"deputado federal"
190;"";"JULIANA PINTO GONÇALVES";"PTB";"SP";0;0;"deputado federal"
191;"";"JOSÉ AUGUSTO ROSA";"PL";"SP";0;0;"deputado federal"
192;"";"GUILHERME MURARO DERRITE";"PL";"SP";0;0;"deputado federal"
193;"";"ELIAS BONFIM AGUIAR DE SOUZA";"REPUBLICANOS";"SP";0;0;"deputado federal"
194;"";"DANILO ANDRÉ MOSER";"PRTB";"SP";0;0;"deputado federal"
195;"";"ANDRÉ DA SILVA ROSA";"AVANTE";"SP";0;0;"deputado federal"
196;"";"CARLOS ALBERTO DE SOUZA";"PL";"SP";0;0;"deputado federal"
197;"";"CARINA BALBINO CARNEIRO";"PP";"SP";0;0;"deputado federal"
198;"";"CARLA CRISTINA MASSARO FLORES";"MDB";"SP";0;0;"deputado federal"
199;"";"CARLA GUIDINI SANTAGUITA NEGRINI";"PSDB";"SP";0;0;"deputado federal"
200;"";"CARLA ZAMBELLI SALGADO DE OLIVEIRA";"PL";"SP";0;0;"deputado federal"
201;"";"CARLOS ANTONIO FERREIRA DOS SANTOS";"PATRIOTA";"SP";0;0;"deputado federal"
202;"";"JOSE CARLOS FERREIRA BARBOSA";"PTB";"SP";0;0;"deputado federal"
203;"";"CARLOS ALBERTO CANTELLI";"AGIR";"SP";0;0;"deputado federal"
204;"";"JOSÉ CARLOS DO NASCIMENTO REIS";"DC";"SP";0;0;"deputado federal"
205;"";"CARLO CAUTI";"NOVO";"SP";0;0;"deputado federal"
206;"";"CARLOS ALBERTO ADÃO";"AVANTE";"SP";0;0;"deputado federal"
207;"";"CARLOS AUGUSTO LESSA";"DC";"SP";0;0;"deputado federal"
208;"";"CARLOS HENRIQUE DARDE";"AGIR";"SP";0;0;"deputado federal"
209;"";"CARLOS PIRES DE LIMA";"PSB";"SP";0;0;"deputado federal"
210;"";"CARLOS ROBERTO DE ALMEIDA";"AGIR";"SP";0;0;"deputado federal"
211;"";"CARLOS HENRIQUE FOCESI SAMPAIO";"PSDB";"SP";0;0;"deputado federal"
212;"";"CARLOS EDUARDO MARCHESI TROMBINI";"REPUBLICANOS";"SP";0;0;"deputado federal"
213;"";"CARLOS ALBERTO ROLIM ZARATTINI";"PT";"SP";0;0;"deputado federal"
214;"";"CAROLINE DO AMPARO CERQUEIRA";"UNIÃO";"SP";0;0;"deputado federal"
215;"";"CASSIO ELMO GONÇALVES GALLO";"PATRIOTA";"SP";0;0;"deputado federal"
216;"";"EDVALDO DE OLIVEIRA PAULA";"PATRIOTA";"SP";0;0;"deputado federal"
217;"";"SAMUEL PAES";"PP";"SP";0;0;"deputado federal"
218;"";"EDIVAM CAMPOS DE ALBUQUERQUE";"UNIÃO";"SP";0;0;"deputado federal"
219;"";"CELI REGINA DA CRUZ";"PT";"SP";0;0;"deputado federal"
220;"";"MARIA CÉLIA DE JESUS OLIVEIRA";"DC";"SP";0;0;"deputado federal"
221;"";"CÉLIA RAMOS DE JESUS FEITOSA";"PSD";"SP";0;0;"deputado federal"
222;"";"CELSO HENRIQUE DE OLIVEIRA";"NOVO";"SP";0;0;"deputado federal"
223;"";"CELSO LUIZ PEREIRA";"PMB";"SP";0;0;"deputado federal"
224;"";"CELSO UBIRAJARA RUSSOMANNO";"REPUBLICANOS";"SP";0;0;"deputado federal"
225;"";"CESAR RICARDO DOS SANTOS FERREIRA";"PSDB";"SP";0;0;"deputado federal"
226;"";"CESAR MAX DE LIMA VIEIRA";"NOVO";"SP";0;0;"deputado federal"
227;"";"CESAR RENATO DA SILVA";"DC";"SP";0;0;"deputado federal"
228;"";"ANTONIO CEZAR CORREIA FREIRE";"PSD";"SP";0;0;"deputado federal"
229;"";"GLALSON CHAMON DA SILVA";"PSC";"SP";0;0;"deputado federal"
230;"";"CARLOS ALBERTO VEIGA DE QUADROS";"PSC";"SP";0;0;"deputado federal"
231;"";"EDUARDO DE VASCONCELLOS CORREIA ANNUNCIATO";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
232;"";"FRANCISCO DE ASSIS DA SILVA";"PTB";"SP";0;0;"deputado federal"
233;"";"FRANCISCO JOSÉ NOGUEIRA DA SILVA";"PT";"SP";0;0;"deputado federal"
234;"";"FRANCISCO PEREIRA DE SOUSA FILHO";"PSB";"SP";0;0;"deputado federal"
235;"";"ALESSANDRO TADEU DAMIN";"PODE";"SP";0;0;"deputado federal"
236;"";"WALLACE COSTA LANDIM";"PSD";"SP";0;0;"deputado federal"
237;"";"PAMELA CHRISTY MESQUITA MUNIZ";"PCB";"SP";0;0;"deputado federal"
238;"";"CHUKS ILOEGBUNAM";"PSDB";"SP";0;0;"deputado federal"
239;"";"CIBELE FRAGOSO BOTELHO";"PSB";"SP";0;0;"deputado federal"
240;"";"CIBELE FRANCO NAZARETH";"NOVO";"SP";0;0;"deputado federal"
241;"";"CICERO DE AQUINO";"REPUBLICANOS";"SP";0;0;"deputado federal"
242;"";"CICERO SANTANA DA SILVA";"AGIR";"SP";0;0;"deputado federal"
243;"";"CICERO ANTONIO DA SILVA";"PSB";"SP";0;0;"deputado federal"
244;"";"MARIA APARECIDA ALCÂNTARA DE SOUSA";"PSD";"SP";0;0;"deputado federal"
245;"";"APARECIDA BATISTA DIAS BARRETO DE OLIVEIRA";"PL";"SP";0;0;"deputado federal"
246;"";"MARIA APARECIDA DE SOUZA COSTA SILVA";"PSDB";"SP";0;0;"deputado federal"
247;"";"MARIA APARECIDA FAUSTINO FERNANDES";"PSOL";"SP";0;0;"deputado federal"
248;"";"MARIA APARECIDA FIRMINO";"REPUBLICANOS";"SP";0;0;"deputado federal"
249;"";"MARIA APARECIDA PINTO";"PSD";"SP";0;0;"deputado federal"
250;"";"APARECIDO BARBOSA DA SILVA";"PODE";"SP";0;0;"deputado federal"
251;"";"APARECIDO SARAIVA DA ROCHA";"MDB";"SP";0;0;"deputado federal"
252;"";"EDVAM RAMOS DE SOUZA";"MDB";"SP";0;0;"deputado federal"
253;"";"CLAUDINEIA MOREIRA DE ALMEIDA";"PTB";"SP";0;0;"deputado federal"
254;"";"CLAUDETE ALVES DA SILVA";"PT";"SP";0;0;"deputado federal"
255;"";"ANA CLAUDIA CARLETTO";"PSDB";"SP";0;0;"deputado federal"
256;"";"CLAUDIA CASTALDELLI CORRÊA";"REPUBLICANOS";"SP";0;0;"deputado federal"
257;"";"CLAUDIA CARRATO GRANDE";"PSD";"SP";0;0;"deputado federal"
258;"";"CLAUDIA SANTOS LEAL";"PATRIOTA";"SP";0;0;"deputado federal"
259;"";"CLÁUDIA PEREIRA CALDAS";"PP";"SP";0;0;"deputado federal"
260;"";"CLAUDILENA DE SOUZA SIQUEIRA";"AGIR";"SP";0;0;"deputado federal"
261;"";"CLAUDINEI DA ROCHA CORDEIRO";"MDB";"SP";0;0;"deputado federal"
262;"";"CLAUDIA KEITI DA COSTA";"PDT";"SP";0;0;"deputado federal"
263;"";"CLAUDIO DONIZETE DOS REIS";"PSTU";"SP";0;0;"deputado federal"
264;"";"CLAUDIO FREITAS";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
265;"";"CLAUDIO GASPAR DOTTORI";"REDE";"SP";0;0;"deputado federal"
266;"";"CLAUDIO BISPO";"PT";"SP";0;0;"deputado federal"
267;"";"LUIZ CLAUDIO LUZ DA CONCEIÇÃO";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
268;"";"CLAUDIO JOSÉ MACHADO";"PSOL";"SP";0;0;"deputado federal"
269;"";"CLAUDIO SIDNEI RIBEIRO";"AGIR";"SP";0;0;"deputado federal"
270;"";"CLEBER ARAÚJO BARBOSA";"PODE";"SP";0;0;"deputado federal"
271;"";"CLEBER DA ROSA MOREIRA";"PP";"SP";0;0;"deputado federal"
272;"";"CLEBER JACOB";"PSD";"SP";0;0;"deputado federal"
273;"";"CLEIDE FRANCISCO BIZERRA DA SILVA";"PODE";"SP";0;0;"deputado federal"
274;"";"CLENILZA PANATO";"PCO";"SP";0;0;"deputado federal"
275;"";"CLEOMENES ANTUNES JUNIOR";"AVANTE";"SP";0;0;"deputado federal"
276;"";"CLEUSA RAMOS ZERBINI";"MDB";"SP";0;0;"deputado federal"
277;"";"CLEUZA BORDIN QUEIROZ DA SILVA";"SOLIDARIEDADE";"SP";0;0;"deputado federal"
278;"";"CLOVES ALVES DOS SANTOS";"PDT";"SP";0;0;"deputado federal"
279;"";"CLOVIS PEREIRA JURADO";"AVANTE";"SP";0;0;"deputado federal"
280;"";"GISELDA MÁXIMO DE LIMA";"AVANTE";"SP";0;0;"deputado federal"
281;"";"BOLIVAR FUNDÃO FILHO";"PTB";"SP";0;0;"deputado federal"
282;"";"JADSON JOSÉ BARACHO DA SILVA";"PSC";"SP";0;0;"deputado federal"
283;"";"RENATO DO NASCIMENTO";"PRTB";"SP";0;0;"deputado federal"
284;"";"JOSÉ ROBERTO DE CASTRO";"PATRIOTA";"SP";0;0;"deputado federal"
285;"";"BENEDITO PEREIRA COSTA JÚNIOR";"PATRIOTA";"SP";0;0;"deputado federal"
286;"";"DULCINEIA LOPES DE OLIVEIRA";"PL";"SP";0;0;"deputado federal"
287;"";"EDGARD MARCOS GASPAR";"REPUBLICANOS";"SP";0;0;"deputado federal"
288;"";"HOMERO DE GIORGE CERQUEIRA";"PROS";"SP";0;0;"deputado federal"
289;"";"SILVIO ROMERO DE MAGALHAES LEITE";"PTB";"SP";0;0;"deputado federal"
290;"";"MÁRIO ALVES DA SILVA FILHO";"PDT";"SP";0;0;"deputado federal"
291;"";"NILSON JESPERSEN DE OLIVEIRA FRANCO";"PTB";"SP";0;0;"deputado federal"
292;"";"PAULO NISHIKAWA";"PL";"SP";0;0;"deputado federal"
293;"";"RUBENS NUSQUE JUNIOR";"PTB";"SP";0;0;"deputado federal"
294;"";"PAULO JOSÉ RIBEIRO DA SILVA";"PSB";"SP";0;0;"deputado federal"
